,Number of Threads,Number of Files,File Size,Total File Size,Block Size,Fsync Periodicty,I/O Mode (sync/async),Access Mode (seq/rnd),Read/Write,File Operations (reads/s),File Operations (writes/s),File Operations (fsyncs/s),Read Throughput (MiB/s),Write Throughput (MiB/s),Total Time (s),Total Number of Events,Min Latency (ms),Avg Latency (ms),Max Latency (ms),95th Percentile Latency (ms),Total Execution Time across Threads (s),Avg Number of Events per Thread,Avg Execution Time per Thread (s)
54,31,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Read,31660.52,0.0,0.0,494.66,0.0,30.0157,950383.0,0.0,0.98,33.57,2.76,928061.78,30657.5161,29.9375
55,2,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Read,57483.87,0.0,0.0,898.13,0.0,30.0016,1724702.0,0.0,0.03,22.26,0.17,58714.55,862351.0,29.3573
56,5,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Read,38215.31,0.0,0.0,597.08,0.0,30.0059,1146834.0,0.0,0.13,25.45,0.3,148668.06,229366.8,29.7336
57,23,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Read,43793.35,0.0,0.0,684.23,0.0,30.0065,1314217.0,0.0,0.52,28.86,1.16,684874.26,57139.8696,29.7771
58,5,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Write,0.0,27721.68,5547.49,0.0,433.12,30.0031,998187.0,0.0,0.15,376.15,0.14,149197.51,199637.4,29.8395
59,20,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Read,41921.02,0.0,0.0,654.98,0.0,30.0109,1258230.0,0.0,0.48,31.66,1.16,597906.52,62911.5,29.8953
60,7,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Read,40895.98,0.0,0.0,638.96,0.0,30.0061,1227276.0,0.0,0.17,23.95,0.39,208199.22,175325.1429,29.7427
61,6,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Read,51864.36,0.0,0.0,810.33,0.0,30.0034,1556206.0,0.0,0.11,15.33,0.35,177937.67,259367.6667,29.6563
62,7,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Write,0.0,15538.55,3111.94,0.0,242.77,30.0075,559547.0,0.0,0.37,44.1,1.52,209136.38,79935.2857,29.8766
63,15,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Read,40419.38,0.0,0.0,631.52,0.0,30.0074,1213051.0,0.0,0.37,26.67,0.81,448058.3,80870.0667,29.8706
64,20,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Write,0.0,13798.26,2772.42,0.0,215.58,30.0663,497864.0,0.0,1.21,345.83,0.25,600695.55,24893.2,30.0348
65,22,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Read,41999.7,0.0,0.0,656.21,0.0,30.0104,1260598.0,0.0,0.52,32.16,1.14,654135.54,57299.9091,29.7334
66,12,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Write,0.0,12624.39,2532.54,0.0,197.25,30.0117,454670.0,0.0,0.79,24.29,3.43,359161.34,37889.1667,29.9301
67,1,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Read,61316.88,0.0,0.0,958.02,0.0,30.0006,1839649.0,0.0,0.02,17.9,0.06,28990.47,1839649.0,28.9905
68,16,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Write,0.0,7691.8,1548.89,0.0,120.18,30.0173,277076.0,0.0,1.73,52.96,10.46,479579.39,17317.25,29.9737
69,17,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Write,0.0,13716.05,2753.95,0.0,214.3,30.064,494863.0,0.0,1.03,344.96,0.26,510318.92,29109.5882,30.0188
70,10,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Read,52277.35,0.0,0.0,816.78,0.0,30.0027,1568620.0,0.0,0.19,21.39,0.49,297429.16,156862.0,29.7429
