,Number of Threads,Number of Files,File Size,Total File Size,Block Size,Fsync Periodicty,I/O Mode (sync/async),Access Mode (seq/rnd),Read/Write,File Operations (reads/s),File Operations (writes/s),File Operations (fsyncs/s),Read Throughput (MiB/s),Write Throughput (MiB/s),Total Time (s),Total Number of Events,Min Latency (ms),Avg Latency (ms),Max Latency (ms),95th Percentile Latency (ms),Total Execution Time across Threads (s),Avg Number of Events per Thread,Avg Execution Time per Thread (s)
70,10,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,53184.11,0.0,0.0,830.95,0.0,30.0028,1595872.0,0.0,0.19,7.76,0.54,297004.08,159587.2,29.7004
71,31,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,9055.24,1831.08,0.0,141.48,30.0473,326502.0,0.0,2.85,986.19,0.29,931022.55,10532.3226,30.033
72,16,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,16058.95,3222.25,0.0,250.91,30.0129,578394.0,0.0,0.83,242.76,0.26,479659.58,36149.625,29.9787
73,28,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,37730.21,0.0,0.0,589.5,0.0,30.0158,1132624.0,0.0,0.74,33.67,2.14,838319.51,40450.8571,29.94
74,6,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,15348.58,3073.18,0.0,239.81,30.0138,552824.0,0.0,0.32,189.59,1.25,179383.15,92137.3333,29.8972
75,15,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,44166.26,0.0,0.0,690.06,0.0,30.0006,1325105.0,0.0,0.34,8.4,0.74,445902.84,88340.3333,29.7269
76,21,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,6284.24,1270.83,0.0,98.18,30.0099,226321.0,0.0,2.78,60.11,15.83,629594.13,10777.1905,29.9807
77,27,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,10061.01,2029.63,0.0,157.19,30.2338,365027.0,0.0,2.23,909.87,0.23,815822.04,13519.5185,30.2156
78,26,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,40925.56,0.0,0.0,639.42,0.0,30.0162,1228519.0,0.0,0.63,31.68,1.73,778336.59,47250.7308,29.936
79,8,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,47399.89,0.0,0.0,740.58,0.0,30.0052,1422338.0,0.0,0.17,9.12,0.37,238450.31,177792.25,29.8063
80,18,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,7863.13,1584.52,0.0,122.86,30.0109,283197.0,0.0,1.9,44.74,11.04,539379.65,15733.1667,29.9655
81,32,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,10195.26,2059.87,0.0,159.29,30.4855,372986.0,0.0,2.61,662.33,0.2,973093.04,11655.8125,30.4092
82,8,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,23232.29,4651.76,0.0,362.98,30.0116,836764.0,0.0,0.29,436.02,0.18,239364.23,104595.5,29.9205
83,21,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,40648.25,0.0,0.0,635.09,0.0,30.004,1219757.0,0.0,0.51,23.35,1.12,625653.24,58083.6667,29.793
84,23,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,12602.79,2535.82,0.0,196.91,30.0154,453958.0,0.0,1.52,483.65,0.25,689782.81,19737.3043,29.9906
85,12,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,19136.85,3834.97,0.0,299.0,30.0136,689268.0,0.0,0.52,255.06,0.22,359571.63,57439.0,29.9643
86,24,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,11452.56,2306.27,0.0,178.94,30.0166,412553.0,0.0,1.74,609.63,0.21,719809.08,17189.7083,29.992
87,30,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,42221.2,0.0,0.0,659.67,0.0,30.0121,1267284.0,0.0,0.71,26.73,1.42,895863.49,42242.8,29.8621
88,3,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,30455.1,0.0,0.0,475.83,0.0,30.004,913878.0,0.0,0.1,21.02,0.22,89190.91,304626.0,29.7303
89,13,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,13212.45,2651.05,0.0,206.43,30.0067,475797.0,0.0,0.82,26.46,3.55,389098.54,36599.7692,29.9307
90,17,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,46617.69,0.0,0.0,728.36,0.0,30.0011,1398760.0,0.0,0.36,8.21,0.86,504659.47,82280.0,29.6859
91,32,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,39922.96,0.0,0.0,623.76,0.0,30.0178,1198515.0,0.0,0.8,54.43,2.26,958403.24,37453.5938,29.9501
92,9,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,61698.32,0.0,0.0,963.98,0.0,30.0055,1851471.0,0.0,0.14,15.97,0.37,267228.21,205719.0,29.692
93,5,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,69473.18,0.0,0.0,1085.45,0.0,30.0017,2084439.0,0.0,0.07,27.98,0.22,148315.89,416887.8,29.6632
94,29,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,38446.12,0.0,0.0,600.69,0.0,30.0189,1154222.0,0.0,0.75,35.61,2.18,868335.8,39800.7586,29.9426
95,19,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,47227.25,0.0,0.0,737.88,0.0,30.0094,1417411.0,0.0,0.4,8.7,0.95,563774.04,74600.5789,29.6723
96,30,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,37970.0,0.0,0.0,593.24,0.0,30.0186,1139913.0,0.0,0.79,36.29,2.3,898346.12,37997.1,29.9449
97,15,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,10652.05,2140.1,0.0,166.43,30.0146,383685.0,0.0,1.17,54.16,5.99,449206.06,25579.0,29.9471
98,6,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,44496.28,0.0,0.0,695.21,0.0,30.0057,1335243.0,0.0,0.13,21.32,0.31,178423.55,222540.5,29.7373
99,18,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,44778.18,0.0,0.0,699.62,0.0,30.0011,1343484.0,0.0,0.4,6.08,0.95,535327.37,74638.0,29.7404
100,12,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,46766.18,0.0,0.0,730.68,0.0,30.0014,1403237.0,0.0,0.25,25.36,0.64,355900.7,116936.4167,29.6584
101,24,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,4977.49,1011.37,0.0,77.77,30.0162,179298.0,0.0,4.01,54.18,20.74,719635.25,7470.75,29.9848
102,2,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,20838.06,4168.81,0.0,325.57,30.0045,750356.0,0.0,0.08,578.09,0.07,59555.07,375178.0,29.7775
103,1,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,7797.75,1559.62,0.0,121.83,30.0048,280782.0,0.0,0.11,94.58,0.31,29876.26,280782.0,29.8763
104,13,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,47182.22,0.0,0.0,737.18,0.0,30.01,1416117.0,0.0,0.27,25.34,0.64,388402.75,108932.0769,29.8771
105,2,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,11839.16,2368.64,0.0,184.97,30.0072,426319.0,0.0,0.14,50.23,0.46,59704.56,213159.5,29.8523
106,10,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,21530.08,4312.14,0.0,336.39,30.0067,775281.0,0.0,0.39,194.55,0.2,299308.87,77528.1,29.9309
107,26,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,4948.35,1006.92,0.0,77.31,30.0271,178318.0,0.0,4.37,63.36,21.11,779905.47,6858.3846,29.9964
108,10,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,15706.3,3147.84,0.0,245.4,30.0051,565573.0,0.0,0.53,61.74,2.26,299146.19,56557.3,29.9146
109,31,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,4867.03,993.97,0.0,76.04,30.0395,175451.0,0.0,5.3,84.97,22.69,929904.03,5659.7097,29.9969
110,26,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,33991.66,0.0,0.0,531.09,0.0,30.0074,1020122.0,0.0,0.76,32.42,1.64,777018.77,39235.4615,29.8853
111,25,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,39246.41,0.0,0.0,613.19,0.0,30.005,1177777.0,0.0,0.63,27.42,1.32,745765.1,47111.08,29.8306
112,18,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,45232.2,0.0,0.0,706.72,0.0,30.0115,1357581.0,0.0,0.4,25.62,0.95,538236.61,75421.1667,29.902
113,12,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,48773.84,0.0,0.0,762.04,0.0,30.0101,1463862.0,0.0,0.24,24.39,0.6,358391.93,121988.5,29.866
