,Number of Threads,Number of Files,File Size,Total File Size,Block Size,Fsync Periodicty,I/O Mode (sync/async),Access Mode (seq/rnd),Read/Write,File Operations (reads/s),File Operations (writes/s),File Operations (fsyncs/s),Read Throughput (MiB/s),Write Throughput (MiB/s),Total Time (s),Total Number of Events,Min Latency (ms),Avg Latency (ms),Max Latency (ms),95th Percentile Latency (ms),Total Execution Time across Threads (s),Avg Number of Events per Thread,Avg Execution Time per Thread (s)
35,14,20,256MiB,5GiB,16KiB,100,synchronous,Random,Write,0.0,228.82,55.02,0.0,3.58,30.1519,8279.0,0.01,50.83,909.57,363.18,420790.14,591.3571,30.0564
36,16,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Read,441873.3,0.0,0.0,6904.27,0.0,30.0006,13257196.0,0.0,0.02,3.9,0.06,324000.61,828574.75,20.25
37,8,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Write,0.0,3086.7,622.23,0.0,48.23,30.0288,111227.0,0.01,2.16,271.17,16.71,239969.35,13903.375,29.9962
38,1,20,256MiB,5GiB,16KiB,100,synchronous,Random,Read,204465.13,0.0,0.0,3194.77,0.0,30.0002,6134666.0,0.0,0.0,0.27,0.01,28935.26,6134666.0,28.9353
39,21,20,256MiB,5GiB,16KiB,100,synchronous,Random,Write,0.0,223.98,58.4,0.0,3.5,30.3561,8153.0,0.01,77.81,1178.42,520.62,634412.68,388.2381,30.2101
40,28,20,256MiB,5GiB,16KiB,100,synchronous,Random,Write,0.0,223.19,62.43,0.0,3.49,30.9123,8270.0,0.01,102.35,1529.76,733.0,846433.22,295.3571,30.2298
41,3,20,256MiB,5GiB,16KiB,100,synchronous,Random,Write,0.0,219.91,45.98,0.0,3.44,30.0087,7920.0,0.01,11.36,260.36,77.19,90006.69,2640.0,30.0022
42,9,20,256MiB,5GiB,16KiB,100,synchronous,Random,Read,402913.03,0.0,0.0,6295.52,0.0,30.0004,12088239.0,0.0,0.01,3.01,0.03,178940.63,1343137.6667,19.8823
43,21,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Read,435042.68,0.0,0.0,6797.54,0.0,30.0005,13052269.0,0.0,0.03,4.57,0.08,411585.52,621536.619,19.5993
44,17,20,256MiB,5GiB,16KiB,100,synchronous,Random,Write,0.0,204.67,51.43,0.0,3.2,30.7776,7543.0,0.01,67.75,1155.15,467.3,511013.66,443.7059,30.0596
