,Number of Threads,Number of Files,File Size,Total File Size,Block Size,Fsync Periodicty,I/O Mode (sync/async),Access Mode (seq/rnd),Read/Write,File Operations (reads/s),File Operations (writes/s),File Operations (fsyncs/s),Read Throughput (MiB/s),Write Throughput (MiB/s),Total Time (s),Total Number of Events,Min Latency (ms),Avg Latency (ms),Max Latency (ms),95th Percentile Latency (ms),Total Execution Time across Threads (s),Avg Number of Events per Thread,Avg Execution Time per Thread (s)
11,18,20,256MiB,5GiB,16KiB,100,asynchronous,Random,Read,503687.49,0.0,0.0,7870.12,0.0,30.0007,15111898.0,0.0,0.01,4.05,0.01,206388.35,839549.8889,11.466
12,30,20,256MiB,5GiB,16KiB,100,asynchronous,Random,Read,487827.18,0.0,0.0,7622.3,0.0,30.0007,14636120.0,0.0,0.02,6.82,0.01,289746.09,487870.6667,9.6582
13,15,20,256MiB,5GiB,16KiB,100,asynchronous,Random,Write,0.0,226.0,54.5,0.0,3.53,30.5271,8264.0,0.01,54.75,687.99,397.39,452442.17,550.9333,30.1628
14,12,20,256MiB,5GiB,16KiB,100,asynchronous,Sequential,Read,514632.99,0.0,0.0,8041.14,0.0,30.0005,15440157.0,0.0,0.01,1.57,0.02,221358.87,1286679.75,18.4466
15,13,20,256MiB,5GiB,16KiB,100,asynchronous,Sequential,Read,458362.12,0.0,0.0,7161.91,0.0,30.0006,13751898.0,0.0,0.01,3.19,0.02,203987.77,1057838.3077,15.6914
16,11,20,256MiB,5GiB,16KiB,100,asynchronous,Random,Read,486051.9,0.0,0.0,7594.56,0.0,30.0006,14582739.0,0.0,0.01,3.78,0.01,155087.84,1325703.5455,14.0989
17,20,20,256MiB,5GiB,16KiB,100,asynchronous,Random,Write,0.0,222.1,57.68,0.0,3.47,30.1636,8040.0,0.01,74.85,1393.29,484.44,601817.14,402.0,30.0909
18,21,20,256MiB,5GiB,16KiB,100,asynchronous,Sequential,Read,467898.41,0.0,0.0,7310.91,0.0,30.0007,14038187.0,0.0,0.02,4.01,0.02,238579.16,668485.0952,11.3609
19,32,20,256MiB,5GiB,16KiB,100,asynchronous,Random,Read,484173.33,0.0,0.0,7565.21,0.0,30.0007,14526369.0,0.0,0.02,6.11,0.01,298531.55,453949.0312,9.3291
20,25,20,256MiB,5GiB,16KiB,100,asynchronous,Random,Write,0.0,228.11,61.46,0.0,3.56,30.6841,8386.0,0.01,90.37,1406.69,590.56,757842.83,335.44,30.3137
21,23,20,256MiB,5GiB,16KiB,100,asynchronous,Random,Write,0.0,222.73,59.09,0.0,3.48,30.5267,8144.0,0.01,85.09,1500.53,549.52,692977.59,354.087,30.1295
